"Full Name",Position,"Hand Size","Arm Length","Height (Inches)","Draft Pick",BMI,"Draft Year"
"Kyle Long",OL,"11    ","33 3/8",78,1.20,36.2,2013
"Kyle Murphy",OL,"9 3/4","33 1/2",78,6.25,35.2,2016
"La'el Collins",OL,-,-,76,Undrafted,37.1,2015
"LaAdrian Waddle",OL,"11 1/8","36    ",78,Undrafted,36.4,2013
"Laken Tomlinson",OL,"10 1/8","33 5/8",75,1.28,40.4,2015
"Lamont Gaillard",OL,"10 3/8","33 1/2",75,6.06,38.1,2019
"Landon Turner",OL,"10 3/8","32 7/8",75,Undrafted,41.2,2016
"Lane Johnson",OL,"10 1/8","35 1/4",78,1.04,35.0,2013
"Lane Taylor",OL,"10 1/2","32 1/4",75,Undrafted,40.5,2013
"Laremy Tunsil",OL,"10    ","34 1/4",77,1.13,36.8,2016
"Larry Warford",OL,"9 1/2","33 3/8",75,3.03,41.5,2013
"Larson Graham",OL,"9 1/2","31 3/4",76,Undrafted,37.0,2017
"Laurence Gibson",OL,"10 3/8","35 1/8",78,7.26,35.2,2015
"Laurent Duvernay-Tardif",OL,"11    ","33    ",77,6.24,38.1,2014
"Le'Raven Clark",OL,"11 7/8","36 1/8",77,3.19,36.9,2016
"Leo Koloamatangi",OL,-,-,77,Undrafted,36.2,2017
"Leonard Wester",OL,"9 5/8","34    ",77,Undrafted,36.4,2016
"Lucas Crowley",OL,-,-,75,Undrafted,33.6,2017
"Lucas Patrick",OL,-,-,75,Undrafted,39.1,2016
"Luke Bowanko",OL,"9 1/2","34 1/2",78,6.29,34.7,2014
"Luke Joeckel",OL,"10 1/8","34 1/4",78,2.01,35.4,2013
"Marcus Cannon",OL,"9 1/8","34    ",77,5.07,42.4,2011
"Marcus Gilbert",OL,"9 3/4","33 1/2",78,2.30,38.1,2011
"Marcus Martin",OL,"10    ","34    ",75,1.16,40.0,2014
"Mark Glowinski",OL,"9 3/4","33 1/8",76,4.35,37.4,2015
"Marshal Yanda",OL,"10    ","32 1/2",75,3.22,38.1,2007
"Marshall Newhouse",OL,"10 1/4","34    ",76,5.37,38.8,2010
"Martez Ivey",OL,"10 3/8","36 1/4",77,Undrafted,37.3,2019
"Martinas Rankin",OL,"10 1/8","33 3/4",76,3.16,37.5,2018
"Mason Cole",OL,"9 5/8","32 1/8",76,3.33,37.4,2018
"Matt Feiler",OL,"9 1/2","32    ",78,Undrafted,38.1,2014
"Matt Gono",OL,"9 7/8","34 3/8",76,Undrafted,38.5,2018
"Matt Kalil",OL,"10 3/8","34 1/2",79,1.04,34.5,2012
"Matt McCants",OL,"9 1/4","35 3/8",78,6.31,35.6,2012
"Matt Paradis",OL,"9 7/8","32 3/8",75,6.31,37.5,2014
"Matt Pryor",OL,"11 1/2","35 1/2",79,6.32,36.9,2018
"Matt Skura",OL,-,-,75,Undrafted,38.1,2016
"Matt Slauson",OL,"10 1/2","33 1/8",77,6.20,37.3,2009
"Matt Tobin",OL,-,-,78,Undrafted,35.0,2013
"Maurkice Pouncey",OL,-,-,77,1.18,36.0,2010
"Maurquice Shakir",OL,-,-,76,Undrafted,38.1,2017
"Max Garcia",OL,"10 1/4","33 1/8",76,4.34,37.6,2015
"Max Scharping",OL,"10    ","33 5/8",78,2.23,37.8,2019
"Max Tuerk",OL,"10 3/4","32 1/2",77,3.03,35.3,2016
"Max Unger",OL,-,-,77,2.16,36.6,2009
"Menelik Watson",OL,"10 3/8","34    ",77,2.10,36.8,2013
"Michael Deiter",OL,"10 3/4","33 1/8",77,3.14,36.6,2019
"Michael Dunn",OL,"9 3/4","31 5/8",77,Undrafted,35.6,2017
"Michael Liedtke",OL,-,-,75,Undrafted,38.1,2015
"Michael Oher",OL,-,-,77,1.23,36.6,2009
"Michael Ola",OL,-,-,77,Undrafted,37.0,2011
"Michael Schofield",OL,"9 5/8","34    ",78,3.31,34.8,2014
"Mike Adams",OL,"10 7/8","34    ",79,2.24,36.4,2012
"Mike Iupati",OL,-,-,77,1.17,39.2,2010
"Mike Jordan",OL,"10    ","34 1/4",78,4.34,36.1,2019
"Mike Matthews",OL,-,-,74,Undrafted,38.5,2016
"Mike McGlinchey",OL,"10    ","34    ",80,1.09,33.9,2018
"Mike Person",OL,"9 5/8","32 3/4",76,7.36,36.5,2011
"Mike Pouncey",OL,"9 3/4","32 1/4",77,1.15,35.9,2011
"Mike Remmers",OL,-,-,77,Undrafted,36.8,2012
"Mitch Hyatt",OL,"10 1/4","34 1/8",77,Undrafted,35.9,2019
"Mitch Morse",OL,"9 1/4","32 1/4",77,2.17,36.2,2015
"Mitchell Schwartz",OL,"10    ","33 1/2",77,5.02,37.7,2012
"Morgan Moses",OL,"9 7/8","35 3/8",78,2.03,36.3,2014
"Nate Davis",OL,"9 1/2","33 1/8",75,3.18,39.5,2019
"Nate Herbig",OL,"10 1/8","33 1/4",75,Undrafted,41.9,2019
"Nate Solder",OL,"9 7/8","35 1/2",80,1.17,35.0,2011
"Nate Theaker",OL,"9 5/8","32 5/8",77,Undrafted,37.3,2017
"Nick Allegretti",OL,"10 1/8","32 1/4",76,7.02,37.7,2019
"Nick Becton",OL,"9    ","35 1/2",77,Undrafted,38.3,2013
"Nick Easton",OL,-,-,74,Undrafted,39.4,2015
"Nick Gates",OL,"10 1/4","32    ",77,Undrafted,35.0,2018
"Nick Mangold",OL,-,-,76,1.29,36.5,2006
"Nick Martin",OL,"9 3/4","32 1/2",76,2.19,36.4,2016
"Nico Falah",OL,"10 5/8","33 1/4",76,Undrafted,36.6,2018
"Nico Siragusa",OL,"10 5/8","33 1/2",76,4.16,38.8,2017
"Nila Kasitati",OL,"10 1/2","32    ",75,Undrafted,39.6,2016
"Oday Aboushi",OL,"10 5/8","33 3/4",77,5.08,36.5,2013
"Oli Udoh",OL,"10    ","35 3/8",77,6.20,38.3,2019
"Oni Omoile",OL,-,-,74,Undrafted,39.8,2016
"Orlando Brown",OL,"9 3/4","35    ",80,3.19,37.9,2018
"Orlando Franklin",OL,"11 1/8","35    ",78,2.14,36.5,2011
"Pace Murphy",OL,-,-,78,Undrafted,35.6,2016
"Parker Collins",OL,"9 1/2","30 1/4",74,Undrafted,39.0,2017
"Parker Ehinger",OL,"9 7/8","33    ",78,4.07,35.8,2016
"Pat Elflein",OL,"9 3/4","33 1/4",75,3.06,37.9,2017
"Patrick Morris",OL,"9    ","31 1/4",74,Undrafted,38.5,2018
"Patrick Omameh",OL,-,"34    ",76,Undrafted,39.8,2013
"Paul Adams",OL,"10    ","33 1/2",78,Undrafted,36.6,2019
"Peter Daniel",OL,"9    ","32 5/8",79,Undrafted,34.2,2018
"Phil Haynes",OL,"9 1/2","33 1/2",76,4.22,39.2,2019
"Quenton Nelson",OL,"10 3/8","33 3/4",77,1.06,38.5,2018
"Quinton Spain",OL,-,-,76,Undrafted,40.4,2015
"Ramon Foster",OL,-,-,77,Undrafted,38.9,2009
"Rashod Hill",OL,-,-,78,Undrafted,36.2,2016
"Rees Odhiambo",OL,"9 5/8","33 1/4",75,3.35,39.2,2016
"Richie Incognito",OL,-,-,75,3.17,38.1,2005
"Rick Leonard",OL,"9 1/4","32 1/4",79,4.27,35.0,2018
"Ricky Wagner",OL,"9 7/8","34    ",78,5.35,35.6,2013
"Riley Reiff",OL,"10 1/8","33 1/4",78,1.23,36.2,2012
"Rob Havenstein",OL,"9 7/8","33 3/4",79,2.25,36.2,2015
"Roderick Johnson",OL,"10 3/4","36    ",79,5.16,33.6,2017
"Roderick Taylor",OL,"9 3/4","34 1/4",75,7.34,40.0,2018
"Rodger Saffold",OL,-,"33 5/8",77,2.01,37.5,2010
"Rodney Hudson",OL,"9 3/8","32 1/2",74,2.23,38.4,2011
"Ronald Leary",OL,"8 5/8","34 3/4",75,Undrafted,39.4,2012
"Ronnie Stanley",OL,"10 5/8","35 5/8",77,1.06,37.0,2016
"Ross Pierschbacher",OL,"10    ","32 1/8",76,5.15,37.4,2019
"Roubbens Joseph",OL,"10    ","34    ",76,Undrafted,38.0,2017
"Russell Bodine",OL,"10    ","32 1/2",75,4.11,38.7,2014
"Russell Okung",OL,"10 1/2","36    ",77,1.06,36.4,2010
"Ryan Bates",OL,"9 1/2","32 1/2",76,Undrafted,37.2,2019
"Ryan Groy",OL,"10 3/8","33 1/4",77,Undrafted,37.5,2014
"Ryan Harris",OL,-,-,77,3.06,36.2,2007
"Ryan Jensen",OL,"9 1/8","32 3/8",76,6.35,38.8,2013
"Ryan Kalil",OL,-,-,75,2.27,37.4,2007
"Ryan Kelly",OL,"9 5/8","33 5/8",76,1.18,37.9,2016
"Ryan Pope",OL,"11 1/8","34 1/4",79,Undrafted,36.0,2019
"Ryan Ramczyk",OL,"10 7/8","33 3/4",78,1.32,35.8,2017
"Ryan Schraeder",OL,-,-,79,Undrafted,33.8,2013
"Salesi Uhatafe",OL,"10 1/4","33    ",77,Undrafted,36.8,2018
"Sam Jones",OL,"9 1/2","31    ",77,6.09,36.2,2018
"Sam Tevi",OL,"10 1/8","34    ",77,6.06,36.9,2017
"Sam Young",OL,"10 1/8","34 1/2",80,6.10,33.6,2010
"Scott Quessenberry",OL,"9 3/4","31 3/4",76,5.18,37.7,2018
"Sean Harlow",OL,"9 1/2","32    ",76,4.30,36.9,2017
"Sean Hickey",OL,"10 1/2","32 3/4",78,Undrafted,35.4,2015
"Sean Welsh",OL,"10 1/4","32    ",75,Undrafted,38.2,2018
"Seantrel Henderson",OL,"10 1/2","34 5/8",79,7.22,37.3,2014
"Sebastian Tretola",OL,"10 3/8","31 1/2",76,6.18,38.2,2016
"Senio Kelemete",OL,"9 5/8","33 1/2",76,5.16,37.4,2012
"Shane McDermott",OL,-,-,76,Undrafted,36.8,2015
"Shaq Calhoun",OL,"10    ","33 1/8",74,Undrafted,39.8,2019
"Shaquille Mason",OL,-,-,74,4.32,39.8,2015
"Shawn Lauvao",OL,"9 1/2","33    ",75,3.28,39.4,2010
"Shon Coleman",OL,"10 5/8","35 1/8",77,3.13,36.4,2016
"Skyler Phillips",OL,"9 1/2","33    ",75,Undrafted,39.7,2018
"Spencer Drango",OL,"9 1/2","33 3/4",77,5.31,37.3,2016
"Spencer Long",OL,"10 3/4","33 1/8",77,3.14,37.7,2014
"Spencer Pulley",OL,"9 7/8","31 1/2",76,Undrafted,37.5,2016
"Stefen Wisniewski",OL,"10 3/8","33    ",75,2.16,39.1,2011
"Stephane Nembot",OL,"10 3/4","34 5/8",78,Undrafted,37.2,2016
"Steven Moore",OL,-,-,78,Undrafted,35.0,2017
"Storm Norton",OL,"10 1/8","35 1/4",79,Undrafted,34.6,2017
"Sua Opeta",OL,"9 7/8","33 1/4",76,Undrafted,36.6,2019
"T.J. Clemmings",OL,"10 3/8","35 1/8",77,4.11,36.6,2015
"T.J. Johnson",OL,"9 1/2","33 1/2",76,7.45,37.7,2013
"T.J. Lang",OL,"9 5/8","32 3/4",76,4.09,38.3,2009
"Taylor Decker",OL,"10    ","33 3/4",79,1.16,34.9,2016
"Taylor Hart",OL,"10 1/8","32 3/4",78,5.01,32.5,2014
"Taylor Hearn",OL,"8 3/4","32 1/2",76,Undrafted,40.2,2018
"Taylor Lewan",OL,"9 1/4","33 7/8",79,1.11,34.8,2014
"Taylor Moton",OL,"10 5/8","34 1/8",77,2.32,37.8,2017
"Ted Karras",OL,"9 1/8","32    ",76,6.46,37.1,2016
"Ted Larsen",OL,-,-,75,6.35,38.0,2010
"Terron Armstead",OL,"9 1/4","34    ",77,3.13,36.3,2013
"Terry Poole",OL,"9 1/2","33 1/4",77,4.31,36.4,2015
"Tim Barnes",OL,-,-,76,Undrafted,36.5,2011
"Timon Parris",OL,"9 3/8","33 7/8",78,Undrafted,36.1,2018
"Toby Weathersby",OL,"10 1/4","33 1/4",76,Undrafted,38.6,2018
"Tom Compton",OL,"10    ","34    ",77,6.23,37.2,2012
"Tony Adams",OL,"9 1/8","33 1/2",73,Undrafted,39.8,2018
"Tony Bergstrom",OL,"9    ","32    ",77,3.32,37.1,2012
"Trai Turner",OL,"9 1/2","34    ",75,3.28,38.7,2014
"Travis Averill",OL,-,-,75,Undrafted,36.9,2017
"Travis Frederick",OL,"10    ","33    ",76,1.31,38.0,2013
"Travis Swanson",OL,"10    ","33 1/8",77,3.12,37.0,2014
"Trent Brown",OL,-,-,80,7.27,39.0,2015
"Trent Williams",OL,-,"34 1/4",77,1.04,37.3,2010
"Trenton Scott",OL,"9 1/4","34 3/8",76,Undrafted,36.6,2018
"Trevon Tate",OL,"9 5/8","32 3/8",74,Undrafted,37.6,2019
"Trey Hopkins",OL,"9 3/8","34 1/2",75,Undrafted,38.7,2014
"Trey Pipkins",OL,"9 5/8","33 7/8",78,3.27,35.7,2019
"Ty Nsekhe",OL,-,-,80,Undrafted,37.1,2009
"Ty Sambrailo",OL,"10    ","33    ",78,2.27,35.9,2015
"Tyler Catalina",OL,"9 3/4","32 7/8",78,Undrafted,37.6,2017
"Tyler Johnstone",OL,"10 3/8","34    ",77,Undrafted,35.7,2016
"Tyler Jones",OL,"9 3/4","33 3/4",75,Undrafted,38.2,2019
"Tyler Larsen",OL,"9 1/4","31 1/2",76,Undrafted,38.1,2014
"Tyler Marz",OL,"10    ","33 1/2",78,Undrafted,36.5,2016
"Tyler Orlosky",OL,"9 3/4","32 1/4",75,Undrafted,37.2,2017
"Tyler Roemer",OL,"10 1/4","33 7/8",78,Undrafted,36.1,2019
"Tyler Shatley",OL,-,-,75,Undrafted,38.7,2014
"Tyreek Burwell",OL,-,-,78,Undrafted,35.8,2015
"Tyrell Crosby",OL,"10 3/4","35 1/4",77,5.16,36.6,2018
"Tyron Smith",OL,"11    ","36 3/8",77,1.09,36.4,2011
"Tyrus Thompson",OL,"10 1/4","34 7/8",77,6.09,38.4,2015
"Tytus Howard",OL,"10 5/8","34    ",77,1.23,38.2,2019
"Ulrick John",OL,-,-,78,7.17,35.7,2014
"Vadal Alexander",OL,"10 1/2","35 1/4",77,7.13,38.7,2016
"Valerian Ume-Ezeoke",OL,-,-,74,Undrafted,39.2,2015
"Victor Salako",OL,-,"34 1/4",77,Undrafted,37.5,2017
"Vinston Painter",OL,"9 7/8","34    ",76,5.06,37.2,2013
"Vladimir Ducasse",OL,-,-,77,2.28,39.4,2010
"Wes Martin",OL,"9 3/8","32 3/4",75,4.29,38.9,2019
"Wes Schweitzer",OL,-,"32 5/8",76,6.02,36.5,2016
"Wesley Johnson",OL,"10 1/4","33 1/8",77,5.33,35.2,2014
"Weston Richburg",OL,"9 1/4","33 3/8",75,2.11,37.2,2014
"Will Beatty",OL,"10    ","34 3/4",78,2.28,36.9,2009
"Will Clapp",OL,"9 5/8","31 1/4",77,7.27,36.9,2018
"Will Hernandez",OL,"9 7/8","35 1/4",74,2.02,42.0,2018
"Will Holden",OL,"10 1/8","33 1/4",79,5.13,35.0,2017
"Will Richardson",OL,"9 7/8","32    ",78,4.29,35.4,2018
"William Poehls",OL,-,-,80,Undrafted,37.8,2014
"William Sweet",OL,"10 1/8","34 3/8",78,Undrafted,36.2,2019
"Willie Beavers",OL,"9 1/2","33 1/2",76,4.23,39.1,2016
"Wyatt Teller",OL,"10 1/4","34    ",77,5.29,37.2,2018
"Xavier Su'a-Filo",OL,"9 3/8","33 3/8",76,2.01,37.4,2014
"Yodny Cajuste",OL,"10    ","34    ",77,3.37,37.0,2019
"Yosh Nijman",OL,"10    ","34    ",79,Undrafted,36.5,2019
"Zac Kerin",OL,-,-,76,Undrafted,37.1,2014
"Zach Banner",OL,"10 3/4","34 7/8",80,4.31,38.8,2017
"Zach Crabtree",OL,"9 1/8","34 1/8",78,Undrafted,36.6,2018
"Zach Fulton",OL,"10 1/4","33 1/4",77,6.17,37.5,2014
"Zach Sterup",OL,"9 3/8","34    ",81,Undrafted,34.1,2016
"Zach Strief",OL,-,-,80,7.02,36.2,2006
"Zack Bailey",OL,"9 5/8","33    ",77,Undrafted,35.5,2019
"Zack Golditch",OL,"10 3/4","33 3/8",77,Undrafted,35.3,2018
"Zack Martin",OL,"9 1/2","32 7/8",76,1.16,38.3,2014
"Zane Beadles",OL,"9 3/4","33 3/4",77,2.12,36.8,2010
