"Full Name",Position,Age,"Birth Date","Hand Size","Arm Length",College,Height,BMI,"Draft Pick","Height (Inches)",Team
"Jeremy Langford",RB,27.3,12/6/91,"8 3/4","31 1/2","Michigan State","6' 0""",28.2,4.07,72,"Atlanta Falcons"
"Jeremy McNichols",RB,23.2,12/26/95,"10    ","31 1/2","Boise State","5' 9""",31.6,5.18,69,"Tennessee Titans"
"Jeremy Stewart",RB,30.1,2/17/89,-,-,Stanford,"6' 1""",28.8,Undrafted,73,-
"Jerick McKinnon",RB,26.9,5/3/92,"8 5/8","30 1/4","Georgia Southern","5' 9""",30.9,3.32,69,"San Francisco 49ers"
"Jerome Smith",RB,27.9,4/15/91,"9 3/4","30 7/8",Syracuse,"5' 11""",30.7,Undrafted,71,-
"Jewel Hampton",RB,29.2,12/23/89,"9 5/8","31    ","Southern Illinois","5' 9""",31.0,Undrafted,69,-
"Jhurell Pressley",RB,26.8,5/20/92,"9 1/4","32    ","New Mexico","5' 10""",29.6,Undrafted,70,-
"Joe Banyard",RB,30.4,11/12/88,-,-,UTEP,"5' 10""",29.4,Undrafted,70,-
"Joe Kerridge",RB,26.5,9/17/92,"9 1/2","31 1/8",Michigan,"6' 0""",33.2,Undrafted,72,-
"Joe Mixon",RB,22.7,7/24/96,"10 1/4","30 1/8",Oklahoma,"6' 1""",30.1,2.16,73,"Cincinnati Bengals"
"Joe Williams",RB,25.5,9/4/93,"9 3/8","30 3/4",Utah,"5' 11""",29.3,4.15,71,-
"Joel Bouagnon",RB,24.0,3/28/95,"9 3/4","31 1/2","Northern Illinois","6' 1""",30.3,Undrafted,73,-
"Joey Demartino",RB,28.5,9/28/90,"9 5/8","30 5/8","Utah State","5' 11""",27.9,Undrafted,71,-
"Joey Iosefa",RB,27.8,6/19/91,"10 1/4","31 3/4",Hawaii,"6' 0""",33.2,7.14,72,-
"John Crockett",RB,27.1,2/6/92,"9 3/4","31    ","North Dakota State","6' 0""",29.4,Undrafted,72,-
"John Kelly",RB,22.5,10/4/96,"9 3/8","31 3/8",Tennessee,"5' 10""",31.0,6.02,70,"Los Angeles Rams"
"John Kuhn",RB,36.5,9/9/82,-,-,Shippensburg,"6' 0""",33.9,Undrafted,72,-
"John Spooney",RB,27.1,2/11/92,"9 1/3","30 1/2",Brown,"5' 10""",27.7,Undrafted,70,-
"Johnathan Franklin",RB,29.4,10/23/89,"9 3/8","30    ",UCLA,"5' 10""",29.4,4.28,70,-
"Joique Bell",RB,32.6,8/4/86,"9    ","31 3/8","Wayne State","5' 11""",30.7,Undrafted,71,-
"Jonas Gray",RB,28.7,6/27/90,"10    ","31 3/8","Notre Dame","5' 10""",32.3,Undrafted,70,-
"Jonathan Dwyer",RB,29.7,7/26/89,"8 5/8","31    ","Georgia Tech","5' 11""",31.9,6.19,71,-
"Jonathan Grimes",RB,29.3,12/21/89,"9 3/4","31 1/2","William & Mary","5' 10""",29.8,Undrafted,70,-
"Jonathan Stewart",RB,32.0,3/21/87,"9 1/2","32 1/4",Oregon,"5' 10""",33.7,1.13,70,-
"Jonathan Williams",RB,25.1,2/2/94,"10    ","31 5/8",Arkansas,"5' 11""",30.7,5.18,71,"Indianapolis Colts"
"Jordan Chunn",RB,24.2,1/2/95,"8 1/4","31 1/8",Troy,"6' 0""",32.4,Undrafted,72,"Dallas Cowboys"
"Jordan Howard",RB,24.4,11/2/94,"9    ","32 1/4",Indiana,"6' 0""",31.2,5.11,72,"Chicago Bears"
"Jordan Johnson",RB,24.8,5/21/94,"9    ","30 3/8",Buffalo,"6' 1""",29.4,Undrafted,73,-
"Jordan Lynch",RB,28.5,10/3/90,"8 7/8","29 3/4","Northern Illinois","6' 0""",29.4,Undrafted,72,-
"Jordan Scarlett",RB,23.1,2/9/96,"8 7/8","30 3/8",Florida,"5' 11""",29.0,-,71,-
"Jordan Todman",RB,29.1,2/24/90,"9 1/4","32    ",Connecticut,"5' 9""",29.2,6.18,69,-
"Jordan Wilkins",RB,24.7,7/18/94,"9 3/8","30 1/8",Mississippi,"6' 1""",28.5,5.32,73,"Indianapolis Colts"
"Joseph Randle",RB,27.2,12/29/91,"8 3/4","31 3/4","Oklahoma State","6' 0""",28.5,5.18,72,-
"Joseph Yearby",RB,23.3,12/11/95,"8 5/8","29 5/8",Miami,"5' 9""",27.3,Undrafted,69,-
"Josh Adams",RB,22.4,10/29/96,"9 1/4","33 3/4","Notre Dame","6' 2""",27.3,Undrafted,74,"Philadelphia Eagles"
"Josh Ferguson",RB,25.8,5/23/93,"9    ","30    ",Illinois,"5' 9""",29.2,Undrafted,69,"Houston Texans"
"Josh Harris",RB,28.2,1/22/91,"9    ","30 1/2","Wake Forest","6' 0""",27.1,Undrafted,72,-
"Josh Jacobs",RB,21.1,2/11/98,"10 1/8","31 5/8",Alabama,"5' 10""",31.6,-,70,-
"Josh Robinson",RB,26.6,8/24/92,"10 1/8","29 3/4","Mississippi State","5' 8""",33.0,6.29,68,-
"Josh Rounds",RB,25.4,10/11/93,"9 1/2","31 1/8",Tulane,"6' 0""",27.8,Undrafted,72,-
"Justice Hill",RB,21.3,11/14/97,"9 1/2","31 5/8","Oklahoma State","5' 10""",28.4,-,70,-
"Justin Crawford",RB,24.1,2/19/95,"9 1/8","32    ","West Virginia","5' 11""",27.8,Undrafted,71,-
"Justin Davis",RB,23.4,11/11/95,"9 5/8","31    ",USC,"6' 1""",27.4,Undrafted,73,"Los Angeles Rams"
"Justin Forsett",RB,33.4,10/14/85,"10 1/2","30 1/4",California,"5' 8""",30.1,7.26,68,-
"Justin Jackson",RB,22.9,4/22/96,"9 1/4","30 5/8",Northwestern,"6' 0""",26.2,7.33,72,"Los Angeles Chargers"
"Justin Stockton",RB,23.7,7/6/95,"9 1/8","30 3/4","Texas Tech","5' 9""",29.7,Undrafted,69,"Detroit Lions"
"Juwan Thompson",RB,26.9,5/13/92,"9    ","30 3/4",Duke,"5' 11""",31.8,Undrafted,71,-
"Ka'Deem Carey",RB,26.4,10/30/92,"9 1/2","31 3/4",Arizona,"5' 9""",30.6,4.17,69,-
"Kahlil Bell",RB,32.3,12/10/86,"10 1/4","31 1/2",UCLA,"6' 0""",29.7,Undrafted,72,-
"Kalen Ballage",RB,23.2,12/22/95,"9 1/2","32 3/4","Arizona State","6' 2""",29.3,4.31,74,"Miami Dolphins"
"Kamryn Pettway",RB,23.3,12/20/95,"9 1/2","31 1/4",Auburn,"6' 0""",31.9,Undrafted,72,-
"Kapri Bibbs",RB,26.2,1/10/93,"8 1/2","31 3/8","Colorado State","5' 9""",31.3,Undrafted,69,"Green Bay Packers"
"Karan Higdon",RB,22.5,9/8/96,"9 5/8","30 3/4",Michigan,"5' 9""",30.4,-,69,-
"Kareem Hunt",RB,23.6,8/6/95,"9 5/8","31 3/8",Toledo,"5' 10""",31.0,3.22,70,"Cleveland Browns"
"Karlos Williams",RB,25.9,5/4/93,"9 3/4","33    ","Florida State","6' 1""",30.3,5.19,73,-
"Keith Ford",RB,24.9,4/18/94,"9 1/2","31 7/8","Texas A&M","5' 10""",31.4,Undrafted,70,"Buffalo Bills"
"Keith Marshall",RB,25.1,2/16/94,"9 3/8","31 5/8",Georgia,"5' 11""",30.5,7.21,71,-
"Keith Smith",RB,27.0,4/8/92,"10    ","31 3/4","San Jose State","6' 0""",32.5,Undrafted,72,"Oakland Raiders"
"Kelvin Taylor",RB,25.5,9/28/93,"8 1/4","29 1/4",Florida,"5' 10""",29.7,6.36,70,-
"Kendall Gaskins",RB,28.4,11/4/90,"8 3/4","32    ",Richmond,"6' 1""",31.4,Undrafted,73,-
"Kendall Hunter",RB,30.5,9/16/88,"8 5/8","31    ","Oklahoma State","5' 7""",31.2,4.18,67,-
"Kenjon Barner",RB,29.9,4/28/89,"9 1/8","29 5/8",Oregon,"5' 9""",28.9,6.14,69,"Atlanta Falcons"
"Kenneth Dixon",RB,25.2,1/21/94,"9 1/2","31 3/8","Louisiana Tech","5' 10""",30.8,4.36,70,"Baltimore Ravens"
"Kenneth Farrow",RB,26.0,3/7/93,"9 1/2","31 3/8",Houston,"5' 9""",32.2,Undrafted,69,-
"Kenny Hilliard",RB,27.4,10/31/91,"9 1/4","31 1/4",LSU,"6' 0""",30.6,7.18,72,-
"Kenyan Drake",RB,25.1,1/27/94,"9 3/4","31 3/4",Alabama,"6' 1""",27.7,3.10,73,"Miami Dolphins"
"Kerryon Johnson",RB,21.7,6/30/97,"9 3/4","32 1/2",Auburn,"6' 0""",28.9,2.11,72,"Detroit Lions"
"Kerwynn Williams",RB,27.8,6/9/91,"9 1/8","29 3/4","Utah State","5' 8""",29.6,7.24,68,"Detroit Lions"
"Keshawn Hill",RB,26.0,3/17/93,"8 3/4","29 5/8","Sam Houston State","5' 10""",28.7,Undrafted,70,-
"Khalfani Muhammad",RB,24.5,9/26/94,"9 1/4","28 7/8",California,"5' 7""",26.6,7.23,67,"Denver Broncos"
"Khalid Hill",RB,23.8,6/4/95,"9 3/8","32 1/2",Michigan,"6' 1""",34.7,Undrafted,73,-
"Khiry Robinson",RB,29.2,12/28/89,"9 1/4","31 1/4","West Texas A&M","6' 0""",29.8,Undrafted,72,-
"Knile Davis",RB,27.5,10/5/91,"8 5/8","29 3/4",Arkansas,"5' 10""",32.6,3.34,70,-
"Knowshon Moreno",RB,31.7,7/16/87,"10    ","30 3/4",Georgia,"5' 11""",29.3,1.12,71,-
"Kory Sheets",RB,34.0,3/31/85,"9 1/2","31 1/4",Purdue,"5' 11""",28.3,Undrafted,71,-
"Kyle Hicks",RB,23.2,1/17/96,"9 1/2","32 1/2",TCU,"5' 10""",29.0,Undrafted,70,-
"Kyle Juszczyk",RB,27.9,4/23/91,"9 1/8","31 1/4",Harvard,"6' 1""",32.7,4.33,73,"San Francisco 49ers"
"L.J. Scott",RB,22.5,9/15/96,"9 3/8","32 1/8","Michigan State","6' 0""",30.8,-,72,-
"La&#039;Rod Stephens-Howling",RB,31.9,4/26/87,-,-,Pittsburgh,"5' 7""",29.0,7.31,67,-
"LaDainian Tomlinson",RB,39.8,6/23/79,-,-,TCU,"5' 10""",30.8,1.05,70,-
"LaDarius Perkins",RB,28.5,9/18/90,"9 5/8","31    ","Mississippi State","5' 7""",30.5,Undrafted,67,-
"LaMichael James",RB,29.4,10/22/89,"9    ","30 1/4",Oregon,"5' 8""",29.6,2.29,68,-
"Lache Seastrunk",RB,27.6,7/29/91,"9 1/4","30    ",Baylor,"5' 10""",28.8,6.10,70,-
"Lamar Miller",RB,27.9,4/25/91,"9 1/4","31 3/8",Miami,"5' 11""",30.4,4.02,71,"Houston Texans"
"Lance Dunbar",RB,29.2,1/25/90,-,-,"North Texas","5' 8""",29.0,Undrafted,68,-
"Larry Rose",RB,23.5,9/9/95,"8 1/2","30 3/4","New Mexico State","5' 9""",28.4,Undrafted,69,-
"Latavius Murray",RB,29.2,1/18/90,"9 1/8","33 1/4","Central Florida","6' 2""",28.6,6.13,74,"New Orleans Saints"
"Lavon Coleman",RB,24.3,12/10/94,"9 1/4","30 1/2",Washington,"5' 11""",30.0,Undrafted,71,"Green Bay Packers"
"Lawrence Thomas",RB,25.9,4/16/93,"10 1/8","33 1/4","Michigan State","6' 3""",35.7,Undrafted,75,-
"Le'Veon Bell",RB,27.1,2/18/92,"9 5/8","31 1/2","Michigan State","6' 1""",30.3,2.16,73,"New York Jets"
"LeGarrette Blount",RB,32.3,12/5/86,"10    ","33 3/8",Oregon,"6' 0""",32.7,Undrafted,72,"Detroit Lions"
"LeSean McCoy",RB,30.7,7/12/88,"8 7/8","31 3/4",Pittsburgh,"5' 10""",29.8,2.21,70,"Buffalo Bills"
"LeShun Daniels",RB,23.8,6/4/95,"9 1/2","30 5/8",Iowa,"5' 11""",31.0,Undrafted,71,-
"Lenard Tillery",RB,25.3,12/9/93,"8 7/8","29 1/4",Southern,"5' 10""",28.4,Undrafted,70,-
"Leonard Fournette",RB,24.2,1/18/95,"9 1/4","31 5/8",LSU,"6' 0""",32.5,1.04,72,"Jacksonville Jaguars"
"Lorenzo Taliaferro",RB,27.2,12/23/91,"8 3/8","32    ","Coastal Carolina","6' 0""",31.1,4.38,72,-
"Mack Brown",RB,27.5,9/24/91,"9 1/2","31 1/4",Florida,"5' 11""",28.7,Undrafted,71,-
"Malcolm Agnew",RB,25.8,5/17/93,"8 7/8","30 3/8","Southern Illinois","5' 9""",29.8,Undrafted,69,-
"Malcolm Brown",RB,26.2,1/1/93,"10 1/4","32 3/4",Texas,"5' 11""",31.2,Undrafted,71,"Los Angeles Rams"
"Malcolm Johnson",RB,26.6,8/11/92,"9 1/8","31 1/2","Mississippi State","6' 1""",30.5,6.19,73,"Green Bay Packers"
"Malik Williams",RB,22.7,6/20/96,"9 5/8","32 1/4",Louisville,"6' 0""",27.1,Undrafted,72,"Pittsburgh Steelers"
"Marcel Reece",RB,33.7,6/23/85,-,-,Washington,"6' 2""",30.8,Undrafted,74,-
"Marcus Cox",RB,24.5,9/20/94,"9    ","30    ","Appalachian State","5' 10""",30.3,Undrafted,70,-
"Marcus Lattimore",RB,27.4,10/29/91,"9 7/8","32 1/2","South Carolina","5' 11""",30.8,4.34,71,-
"Marcus Murphy",RB,27.5,10/3/91,"8 5/8","31    ",Missouri,"5' 8""",29.3,7.13,68,"Buffalo Bills"
"Marion Grice",RB,26.9,4/10/92,"9 1/4","32    ","Arizona State","6' 0""",28.2,6.25,72,-
"Mark Ingram",RB,29.3,12/21/89,"9 3/8","30 5/8",Alabama,"5' 9""",31.7,1.28,69,"Baltimore Ravens"
"Mark Thompson",RB,24.3,12/9/94,"9 5/8","32 3/4",Florida,"6' 2""",29.8,Undrafted,74,"Detroit Lions"
"Mark Walton",RB,22.0,3/28/97,"9 1/4","30    ",Miami,"5' 10""",29.0,4.12,70,"Cincinnati Bengals"
"Marlon Mack",RB,23.0,3/7/96,"9    ","32    ","South Florida","5' 11""",29.7,4.37,71,"Indianapolis Colts"
"Marquez Williams",RB,24.7,7/16/94,"9 1/2","30    ",Miami,"5' 11""",36.3,7.22,71,-
"Marshaun Coprich",RB,24.6,8/10/94,"9    ","29 5/8","Illinois State","5' 8""",31.5,Undrafted,68,-
"Marshawn Lynch",RB,32.9,4/22/86,"9 5/8","32 1/2",California,"5' 11""",30.0,1.12,71,-
"Martez Carter",RB,26.0,3/8/93,"8 5/8","31    ",Grambling,"5' 7""",32.9,Undrafted,67,"New Orleans Saints"
"Matt Asiata",RB,31.7,7/24/87,"9 3/8","30 1/8",Utah,"5' 11""",32.6,Undrafted,71,-
"Matt Breida",RB,24.1,2/28/95,"9 5/8","32 1/8","Georgia Southern","5' 9""",28.8,Undrafted,69,"San Francisco 49ers"
"Matt Forte",RB,33.3,12/10/85,"9 5/8","31 1/8",Tulane,"6' 1""",28.8,2.13,73,-
"Matt Jones",RB,26.0,3/7/93,"8 5/8","32    ",Florida,"6' 2""",29.7,3.31,74,-
"Matthew Dayes",RB,24.5,9/3/94,"10 1/2","30    ","NC State","5' 9""",30.3,7.34,69,"San Francisco 49ers"
"Matthew Tucker",RB,27.8,5/24/91,"9 1/4","30 1/4",TCU,"6' 0""",30.8,Undrafted,72,-
"Maurice Jones-Drew",RB,34.0,3/23/85,-,-,UCLA,"5' 7""",32.6,2.28,67,-
"Melvin Gordon",RB,25.9,4/12/93,"9 3/4","32 3/8",Wisconsin,"6' 1""",28.4,1.15,73,"Los Angeles Chargers"
"Michael Bush",RB,34.8,6/16/84,"9    ","32    ",Louisville,"6' 1""",32.3,4.01,73,-
"Michael Cox",RB,30.4,11/14/88,-,-,Massachusetts,"6' 1""",28.2,7.47,73,-
"Michael Dyer",RB,28.4,10/13/90,"9 1/2","30 5/8",Louisville,"5' 8""",33.1,Undrafted,68,-
"Michael Ford",RB,28.8,5/27/90,"9    ","30 3/8",LSU,"5' 9""",31.9,Undrafted,69,-
"Michael Hill",RB,29.6,8/14/89,"10    ","29 7/8","Missouri Western","5' 10""",30.1,Undrafted,70,-
"Michael Smith",RB,30.6,8/9/88,-,-,"Utah State","5' 9""",30.3,7.05,69,-
"Mike Boone",RB,23.6,7/30/95,"9 1/2","30 3/8",Cincinnati,"5' 10""",29.6,Undrafted,70,"Minnesota Vikings"
"Mike Burton",RB,27.1,2/1/92,"9 1/2","29 1/4",Rutgers,"6' 0""",32.5,5.32,72,"Chicago Bears"
"Mike Davis",RB,26.9,5/11/92,"9 3/8","30 1/4","South Carolina","5' 9""",32.0,4.27,69,"Chicago Bears"
"Mike Gillislee",RB,28.4,11/1/90,"9 3/8","31 1/8",Florida,"5' 11""",30.5,5.31,71,-
"Mike Goodson",RB,31.8,5/23/87,"9 7/8","32 1/4","Texas A&M","6' 0""",28.7,4.11,72,-
"Mike James",RB,27.9,4/13/91,"9 3/4","31 5/8",Miami,"5' 10""",32.0,6.21,70,-
"Mike Tolbert",RB,33.3,11/23/85,-,-,"Coastal Carolina","5' 9""",35.9,Undrafted,69,-
"Mike Weber",RB,21.6,8/25/97,"9 3/8","29 3/4","Ohio State","5' 10""",30.3,-,70,-
"Mikel Leshoure",RB,29.0,3/30/90,"9 3/8","32 1/2",Illinois,"6' 0""",31.6,2.25,72,-
"Miles Sanders",RB,21.9,5/1/97,"9 1/4","30 5/8","Penn State","5' 11""",29.4,-,71,-
"Montee Ball",RB,28.3,12/5/90,"9    ","32 5/8",Wisconsin,"5' 10""",30.7,2.26,70,-
"Myles Gaskin",RB,22.1,2/15/97,"8 3/4","29 1/2",Washington,"5' 9""",30.3,-,69,-
"Nick Bawden",RB,22.7,6/22/96,"9 1/4","30 1/2","San Diego State","6' 2""",31.5,7.19,74,"Detroit Lions"
"Nick Brossette",RB,23.1,3/2/96,"8 5/8","30    ",LSU,"5' 11""",29.1,-,71,-
"Nick Chubb",RB,23.2,12/27/95,"9 5/8","32    ",Georgia,"5' 11""",31.7,2.03,71,"Cleveland Browns"
"Nick Holley",RB,24.3,12/5/94,"9 1/4","29 7/8","Kent State","5' 10""",28.1,Undrafted,70,-
"Nick Wilson",RB,22.9,4/21/96,"9 3/4","29 7/8",Arizona,"5' 10""",28.6,Undrafted,70,-
"Nyheim Hines",RB,22.4,11/12/96,"8 7/8","30 3/4","NC State","5' 8""",30.1,4.04,68,"Indianapolis Colts"
"Orleans Darkwa",RB,27.1,2/28/92,"8 1/8","30 3/4",Tulane,"6' 0""",29.2,Undrafted,72,-
"Patrick DiMarco",RB,29.9,4/30/89,-,-,"South Carolina","6' 1""",30.9,Undrafted,73,"Buffalo Bills"
"Paul Perkins",RB,24.3,11/16/94,"9    ","31 5/8",UCLA,"5' 10""",29.8,5.10,70,"New York Giants"
"Peyton Barber",RB,24.7,6/27/94,"9 3/8","30 1/4",Auburn,"5' 10""",32.7,Undrafted,70,"Tampa Bay Buccaneers"
"Peyton Hillis",RB,33.2,1/21/86,"8    ","31 1/8",Arkansas,"6' 1""",33.0,7.20,73,-
"Phillip Lindsay",RB,24.7,7/24/94,"8 5/8","30 7/8",Colorado,"5' 7""",28.8,Undrafted,67,"Denver Broncos"
"Phillip Tanner",RB,30.6,8/8/88,-,-,"Middle Tennessee","5' 10""",29.8,Undrafted,70,-
"Pierre Thomas",RB,34.3,12/18/84,-,-,Illinois,"5' 11""",30.0,Undrafted,71,-
"Qadree Ollison",RB,22.5,9/8/96,"9 5/8","31 1/2",Pittsburgh,"6' 1""",30.1,-,73,-
"Quinton Flowers",RB,24.3,12/2/94,"9 3/4","30 7/8","Central Florida","5' 10""",30.7,Undrafted,70,"Cincinnati Bengals"
"Raheem Mostert",RB,26.9,4/9/92,"9 3/4","30 7/8",Purdue,"5' 11""",25.9,Undrafted,71,"San Francisco 49ers"
"Rajion Neal",RB,27.0,3/28/92,"9 1/8","30 3/4",Tennessee,"5' 11""",30.7,Undrafted,71,-
"Ralph Webb",RB,24.3,11/21/94,"9 1/4","30 1/4",Vanderbilt,"5' 9""",29.8,Undrafted,69,"Pittsburgh Steelers"
"Rashaad Penny",RB,23.1,2/2/96,"9 1/4","31 1/4","San Diego State","5' 11""",30.7,1.27,71,"Seattle Seahawks"
"Rashad Jennings",RB,34.0,3/26/85,"10 3/8","32    ",Liberty,"6' 1""",31.0,7.41,73,-
"Rasheed Williams",RB,-,-,-,-,"Alfred State","6' 1""",28.4,Undrafted,73,-
"Ray Graham",RB,28.5,9/18/90,"9 5/8","30 3/4",Pittsburgh,"5' 9""",29.4,Undrafted,69,-
"Ray Lawry",RB,22.5,9/10/96,"9 1/8","29 1/4","Old Dominion","5' 9""",30.3,Undrafted,69,-
"Ray Rice",RB,32.2,1/22/87,-,-,Rutgers,"5' 8""",32.2,2.24,68,-
"Raymond Maples",RB,-,-,-,-,Army,"6' 0""",29.6,Undrafted,72,-
"Reggie Bonnafon",RB,23.2,1/4/96,"9 3/4","32 3/4",Louisville,"6' 1""",28.0,Undrafted,73,"Carolina Panthers"
"Reggie Bush",RB,34.1,3/2/85,"9 3/8","32 1/4",USC,"5' 11""",28.3,1.02,71,-
"Rex Burkhead",RB,28.7,7/2/90,"9 3/4","30 7/8",Nebraska,"5' 10""",30.7,6.22,70,"New England Patriots"
"Ricky Ortiz",RB,24.9,4/15/94,"10 1/4","30 1/2","Oregon State","6' 0""",31.6,Undrafted,72,"Atlanta Falcons"
"Rob Kelley",RB,26.5,10/3/92,"9 1/2","30    ",Tulane,"5' 11""",31.5,Undrafted,71,Washington
"Robert Hughes",RB,29.8,6/21/89,"10 1/4","32    ","Notre Dame","5' 11""",32.8,Undrafted,71,-
"Robert Martin",RB,23.5,9/4/95,"8 1/4","30 1/4",Rutgers,"5' 11""",29.3,Undrafted,71,"New York Giants"
"Robert Turbin",RB,29.3,12/2/89,"9 3/4","31    ","Utah State","5' 10""",31.9,4.11,70,-
"Roc Thomas",RB,23.5,9/2/95,"9 1/4","31 5/8","Jacksonville State","5' 10""",28.4,Undrafted,70,"Minnesota Vikings"
"Rod Smith",RB,27.2,1/10/92,-,-,"Ohio State","6' 3""",28.2,Undrafted,75,"Dallas Cowboys"
"Rodney Anderson",RB,22.5,9/12/96,"9 3/4","30 3/4",Oklahoma,"6' 0""",30.4,-,72,-
"Ronald Jones",RB,21.6,8/3/97,"8 3/4","31    ",USC,"5' 11""",28.6,2.06,71,"Tampa Bay Buccaneers"
"Ronnie Brown",RB,37.3,12/12/81,"9 5/8","31 5/8",Auburn,"6' 0""",31.2,1.02,72,-
"Ronnie Hillman",RB,27.5,9/14/91,"8 1/2","30    ","San Diego State","5' 9""",29.5,3.04,69,-
"Ronnie Wingo",RB,28.1,2/18/91,"9 1/2","32 3/8",Arkansas,"6' 3""",28.9,Undrafted,75,-
"Roosevelt Nix",RB,27.0,3/30/92,"9 3/4","30    ","Kent State","5' 11""",34.6,Undrafted,71,"Pittsburgh Steelers"
"Ross Scheuerman",RB,26.0,3/5/93,"8 3/4","30    ",Lafayette,"6' 0""",27.7,Undrafted,72,-
"Roy Finch",RB,27.5,10/1/91,"8 1/4","27 7/8",Oklahoma,"5' 6""",28.6,Undrafted,66,-
"Roy Helu",RB,30.3,12/7/88,"10 1/4","31 1/4",Nebraska,"5' 11""",30.5,4.08,71,-
"Royce Freeman",RB,23.1,2/24/96,"9 1/2","32    ",Oregon,"6' 0""",31.1,3.07,72,"Denver Broncos"
"Rushel Shell",RB,25.5,9/7/93,"9 5/8","30    ","West Virginia","5' 10""",32.6,Undrafted,70,-
"Russell Hansbrough",RB,25.3,11/19/93,"9    ","28 7/8",Missouri,"5' 8""",29.2,Undrafted,68,Washington
"Ryan Green",RB,24.9,4/19/94,"8 3/4","31 1/2","Florida State","5' 10""",27.5,Undrafted,70,-
"Ryan Hewitt",RB,28.2,1/24/91,"9 1/4","32    ",Stanford,"6' 4""",31.0,Undrafted,76,-
"Ryan Mathews",RB,31.5,10/10/87,"9 1/4","31    ","Fresno State","6' 0""",29.8,1.12,72,-
"Ryan Williams",RB,29.0,4/9/90,"9    ","30 5/8","Virginia Tech","5' 9""",30.6,2.06,69,-
"Ryquell Armstead",RB,-,-,"9 1/8","30 5/8",Temple,"5' 11""",30.7,-,71,-
"Sam Rogers",RB,23.9,4/12/95,"9 3/4","30 1/4","Virginia Tech","5' 10""",33.7,6.22,70,-
"Samaje Perine",RB,23.5,9/16/95,"10    ","30 3/8",Oklahoma,"5' 11""",32.5,4.07,71,Washington
"Saquon Barkley",RB,22.1,2/7/97,"9 1/2","31 3/8","Penn State","6' 0""",31.6,1.02,72,"New York Giants"
"Senorise Perry",RB,27.5,9/19/91,"9 1/2","31 1/2",Louisville,"6' 0""",25.4,Undrafted,72,"Miami Dolphins"
"Shane Vereen",RB,29.9,5/2/89,"9 1/4","30 1/4",California,"5' 10""",29.1,2.24,70,-
"Shaun Draughn",RB,31.3,12/7/87,"10    ","31    ","North Carolina","6' 0""",27.8,Undrafted,72,-
"Shaun Wilson",RB,23.3,12/2/95,"8 3/4","30 1/2",Duke,"5' 8""",28.1,Undrafted,68,"Tampa Bay Buccaneers"
"Shock Linwood",RB,25.4,10/13/93,"9 1/4","29 1/4",Baylor,"5' 9""",29.7,Undrafted,69,-
"Shonn Greene",RB,33.6,8/21/85,"8 1/2","31 3/4",Iowa,"5' 11""",31.5,3.01,71,-
"Silas Redd",RB,27.1,3/1/92,"9    ","30 1/4",USC,"5' 10""",30.4,Undrafted,70,-
"Sony Michel",RB,24.1,2/17/95,"9 1/8","31 1/4",Georgia,"5' 11""",29.8,1.31,71,"New England Patriots"
"Spencer Ware",RB,27.3,11/23/91,"9 5/8","30 1/8",LSU,"5' 10""",32.9,6.26,70,-
"Stepfan Taylor",RB,27.8,6/9/91,"8 5/8","30 1/8",Stanford,"5' 9""",31.6,5.07,69,-
"Stephen Houston",RB,27.4,10/28/91,"9    ","30 3/4",Indiana,"5' 11""",31.4,Undrafted,71,-
"Stevan Ridley",RB,30.1,1/27/89,"9 1/4","31 3/4",LSU,"5' 11""",31.4,3.09,71,-
"Steven Jackson",RB,35.7,7/22/83,-,-,"Oregon State","6' 1""",31.1,1.24,73,-
"Steven Miller",RB,28.0,3/23/91,-,-,"Appalachian State","5' 7""",26.9,Undrafted,67,-
"Storm Johnson",RB,27.7,7/10/91,"9 1/2","32    ","Central Florida","6' 0""",28.3,7.07,72,-
"Synjyn Days",RB,27.5,10/9/91,"9 3/8","31 3/8","Georgia Tech","6' 1""",30.6,Undrafted,73,-
"T.J. Logan",RB,24.5,9/3/94,"9    ","32    ","North Carolina","5' 9""",28.9,5.36,69,"Arizona Cardinals"
"T.J. Yeldon",RB,25.5,10/2/93,"9    ","31 5/8",Alabama,"6' 1""",29.8,2.04,73,-
"Taiwan Jones",RB,30.7,7/26/88,"8 3/4","29 1/2","Eastern Washington","6' 0""",26.4,4.28,72,-
"Taquan Mizzell",RB,25.4,10/21/93,"9    ","31    ",Virginia,"5' 9""",29.1,Undrafted,69,"Chicago Bears"
"Tarean Folston",RB,24.2,1/10/95,"9 1/2","30 3/8","Notre Dame","5' 9""",29.4,Undrafted,69,-
"Tarik Cohen",RB,23.7,7/26/95,"10 1/8","29 3/4","North Carolina A&T","5' 6""",28.9,4.13,66,"Chicago Bears"
"Tauren Poole",RB,29.4,10/19/89,"8    ","29 5/8",Tennessee,"5' 10""",30.0,Undrafted,70,-
"Tavon Austin",RB,28.0,3/15/91,"9 1/8","30    ","West Virginia","5' 8""",26.5,1.08,68,"Dallas Cowboys"
"Teriyon Gipson",RB,24.2,1/19/95,"8 3/4","29 3/8","New Mexico","5' 8""",28.4,Undrafted,68,-
"Terrance Cobb",RB,28.5,9/18/90,-,-,Cumberlands,"5' 10""",31.6,Undrafted,70,-
"Terrance West",RB,28.1,1/28/91,"9 1/8","31    ","Towson State","5' 9""",33.2,3.30,69,-
