"Full Name",Position,"Birth Date",Age,"Hand Size","Arm Length",College,Height,BMI,"Draft Pick","Height (Inches)",Team
"Davon Grayson",WR,9/5/1995,23.5,"9 3/8","31 3/8","East Carolina","6' 1""",26.3,Undrafted,73,"Kansas City Chiefs"
"Davonte Allen",WR,3/6/1993,26.0,"8 1/2","32 3/8",Marshall,"6' 1""",27.4,Undrafted,73,-
"De'Anthony Thomas",WR,1/5/1993,26.2,"8 1/8","29 7/8",Oregon,"5' 9""",25.7,4.24,69,-
"De'Mornay Pierson-El",WR,12/26/1995,23.2,"9 5/8","30 7/8",Nebraska,"5' 9""",28.6,Undrafted,69,-
"DeAndre Carter",WR,4/10/1993,25.9,"8 3/4","30 5/8","Sacramento State","5' 8""",28.1,Undrafted,68,"Houston Texans"
"DeAndre Hopkins",WR,6/6/1992,26.8,"10    ","33 3/8",Clemson,"6' 1""",28.2,1.27,73,"Houston Texans"
"DeAndre Reaves",WR,4/30/1992,26.9,"8    ","29 3/8",Marshall,"5' 10""",25.7,Undrafted,70,-
"DeAndre Smelter",WR,12/3/1991,27.3,"11    ","32 5/8","Georgia Tech","6' 2""",29.0,4.33,74,-
"DeAndrew White",WR,10/16/1991,27.4,"9 1/8","31    ",Alabama,"5' 11""",26.9,Undrafted,71,"Carolina Panthers"
"DeAngelo Yancey",WR,11/18/1994,24.3,"9 3/4","32 7/8",Purdue,"6' 2""",28.2,5.32,74,"New York Jets"
"DeMario Bennett",WR,6/20/1989,28.9,"7 7/8","33 7/8","Coastal Carolina","6' 2""",23.2,Undrafted,74,-
"DeSean Jackson",WR,12/1/1986,32.3,"9 3/8","31 1/4",California,"5' 10""",25.1,2.18,70,"Philadelphia Eagles"
"DeVante Parker",WR,1/20/1993,26.2,"9 1/4","33 1/4",Louisville,"6' 3""",26.1,1.14,75,"Miami Dolphins"
"DeVier Posey",WR,3/15/1990,29.0,"9 5/8","31 5/8","Ohio State","6' 2""",27.0,3.05,74,-
"Deante' Gray",WR,2/27/1994,25.1,"7 7/8","30 1/4",TCU,"5' 8""",28.0,Undrafted,68,-
"Dede Westbrook",WR,11/21/1993,25.3,"9    ","30 5/8",Oklahoma,"6' 0""",24.1,4.03,72,"Jacksonville Jaguars"
"Deebo Samuel",WR,1/15/1996,23.2,"10    ","31 3/8","South Carolina","5' 11""",29.8,-,71,-
"Demarcus Ayers",WR,7/7/1994,24.7,"9 1/4","31 1/4",Houston,"5' 9""",26.9,7.08,69,-
"Demarcus Robinson",WR,9/21/1994,24.5,"9 1/2","33    ",Florida,"6' 1""",26.8,4.28,73,"Kansas City Chiefs"
"Demaryius Thomas",WR,12/25/1987,31.2,"10 1/2","33    ","Georgia Tech","6' 3""",28.6,1.22,75,-
"Denarius Moore",WR,12/9/1988,30.3,"9 1/2","33    ",Tennessee,"6' 0""",26.3,5.17,72,-
"Dennis Parks",WR,7/27/1994,24.7,"8 7/8","33 5/8",Rice,"6' 1""",26.5,Undrafted,73,-
"Deon Cain",WR,8/9/1996,22.6,"8 3/4","33    ",Clemson,"6' 2""",25.9,6.11,74,"Indianapolis Colts"
"Deon Long",WR,6/14/1991,27.8,"9 1/2","31    ",Maryland,"6' 0""",26.0,Undrafted,72,-
"Deon-Tay McManus",WR,2/16/1994,25.1,"9 1/4","29 3/4",Marshall,"6' 0""",30.6,Undrafted,72,-
"Deontay Burnett",WR,10/4/1997,21.5,"8 5/8","31 1/2",USC,"6' 0""",25.2,Undrafted,72,"New York Jets"
"Deonte Greenberry",WR,3/7/1994,25.0,"9 1/2","31 1/4",Houston,"6' 1""",27.8,Undrafted,73,-
"Deonte Thompson",WR,2/14/1989,30.1,-,"32 1/2",Florida,"6' 0""",27.5,Undrafted,72,-
"Deontez Alexander",WR,7/25/1996,22.7,"8 5/8","32    ",Franklin,"6' 1""",25.9,Undrafted,73,"Detroit Lions"
"Derel Walker",WR,6/29/1991,27.7,"9    ","32 1/4","Texas A&M","6' 1""",24.8,Undrafted,73,-
"Derrick Johnson",WR,7/6/1991,27.7,"9 1/2","31 1/8",Maine,"5' 11""",26.5,Undrafted,71,-
"Derrick Willies",WR,10/12/1994,24.4,"9 3/4","33    ","Texas Tech","6' 4""",25.2,Undrafted,76,"Cleveland Browns"
"Devante Davis",WR,10/13/1992,26.4,"9 1/2","32 3/8",UNLV,"6' 3""",27.5,Undrafted,75,-
"Devin Fuller",WR,1/29/1994,25.1,"9 1/4","30 3/4",UCLA,"6' 0""",26.3,7.17,72,-
"Devin Funchess",WR,5/21/1994,24.8,"9 3/4","33 1/2",Michigan,"6' 4""",28.2,2.09,76,"Indianapolis Colts"
"Devin Gray",WR,6/15/1995,23.8,"9 3/8","30 3/4",Cincinnati,"5' 11""",25.5,Undrafted,71,"Atlanta Falcons"
"Devin Hester",WR,11/4/1982,36.4,-,-,"Miami (FL)","5' 11""",26.5,2.25,71,-
"Devin Lucien",WR,6/26/1993,25.7,"10 1/8","31 7/8","Arizona State","6' 1""",29.3,7.04,73,-
"Devin Ross",WR,8/12/1995,23.6,"9 1/4","30 7/8",Colorado,"5' 9""",28.4,Undrafted,69,"Tennessee Titans"
"Devin Smith",WR,3/3/1992,27.1,"9    ","31    ","Ohio State","6' 0""",26.6,2.05,72,"Dallas Cowboys"
"Devin Street",WR,3/30/1991,28.0,"9 1/4","33 3/8",Pittsburgh,"6' 3""",24.7,5.06,75,-
"Devon Wylie",WR,9/2/1988,30.6,"9 1/2","30 1/4","Fresno State","5' 9""",27.5,4.12,69,-
"Devonte Boyd",WR,10/5/1994,24.5,"10    ","31 1/4",UNLV,"6' 1""",25.5,Undrafted,73,-
"Dez Bryant",WR,11/4/1988,30.4,"9 3/4","34    ","Oklahoma State","6' 2""",28.2,1.24,74,"New Orleans Saints"
"Dezmin Lewis",WR,12/5/1992,26.3,"9 7/8","32 1/2","Central Arkansas","6' 4""",26.0,7.17,76,-
"Dillon Mitchell",WR,5/16/1997,21.8,"9    ","31 1/2",Oregon,"6' 1""",26.0,-,73,-
"Diontae Johnson",WR,11/5/1996,22.4,"9    ","30 3/4",Toledo,"5' 10""",26.3,-,70,-
"Diontae Spencer",WR,3/9/1992,27.0,"9 7/8","29 7/8","McNeese State","5' 8""",26.3,Undrafted,68,"Pittsburgh Steelers"
"Dom Williams",WR,12/11/1992,26.3,"9    ","32    ","Washington State","6' 2""",25.4,Undrafted,74,-
"Domenik Hixon",WR,10/8/1984,34.5,-,-,Akron,"6' 2""",25.3,4.33,74,-
"Domonique Young",WR,10/27/1994,24.4,"10 1/2","33 3/4",Purdue,"6' 2""",28.1,Undrafted,74,-
"Donnie Avery",WR,6/12/1984,34.8,"9 3/4","30 1/4",Houston,"5' 11""",25.5,2.02,71,-
"Donte Foster",WR,11/10/1990,28.4,"9    ","31 3/4",Ohio,"6' 1""",25.5,Undrafted,73,-
"Donte Moncrief",WR,8/6/1993,25.6,"9 1/8","32 3/8",Mississippi,"6' 2""",28.4,3.26,74,"Pittsburgh Steelers"
"Donteea Dye",WR,8/20/1993,25.6,"9 1/4","30 1/2",Heidelberg,"6' 0""",26.4,Undrafted,72,-
"Dontez Ford",WR,2/3/1994,25.1,"9 3/4","33 3/8",Pittsburgh,"6' 1""",28.0,Undrafted,73,-
"Dontre Wilson",WR,1/3/1995,24.2,"8 1/2","30 5/8","Ohio State","5' 10""",26.3,Undrafted,70,-
"Dontrelle Inman",WR,1/31/1989,30.1,-,-,Virginia,"6' 3""",25.6,Undrafted,75,-
"Dorial Green-Beckham",WR,4/12/1993,25.9,"9    ","32 1/2",Missouri,"6' 5""",28.1,2.08,77,-
"Dorren Miller",WR,8/3/1994,24.6,-,-,Carson-Newman,"6' 2""",25.0,Undrafted,74,"Philadelphia Eagles"
"Doug Baldwin",WR,9/21/1988,30.5,-,"27    ",Stanford,"5' 10""",27.1,Undrafted,70,"Seattle Seahawks"
"Douglas McNeil",WR,7/22/1988,30.7,-,-,"Bowie State","6' 3""",25.0,Undrafted,75,-
"Dres Anderson",WR,7/20/1992,26.7,"9 3/8","31 5/8",Utah,"6' 1""",24.7,Undrafted,73,-
"Drew Davis",WR,1/4/1989,30.2,-,-,Oregon,"6' 1""",27.0,Undrafted,73,-
"Drew Morgan",WR,12/2/1994,24.3,"9 1/2","30 3/8",Arkansas,"6' 0""",25.8,Undrafted,72,-
"Duke Williams",WR,5/13/1992,26.9,"9 1/4","32 1/2",Auburn,"6' 2""",29.4,Undrafted,74,"Buffalo Bills"
"Duron Carter",WR,3/22/1991,28.0,"9 5/8","32 1/2","Florida Atlantic","6' 4""",25.0,Undrafted,76,-
"Durron Neal",WR,11/3/1993,25.4,"9 1/4","30 1/2",Oklahoma,"5' 11""",27.8,Undrafted,71,-
"Dwayne Bowe",WR,9/21/1984,34.5,"9 7/8","33 5/8",LSU,"6' 2""",28.4,1.23,74,-
"Dwayne Harris",WR,9/16/1987,31.5,"10 1/8","31 1/8","East Carolina","5' 10""",28.7,6.11,70,-
"Dwayne Stanford",WR,9/4/1993,25.5,"10 5/8","33 1/2",Oregon,"6' 3""",26.6,Undrafted,75,-
"Dylan Cantrell",WR,6/29/1994,24.7,"9 1/4","31 3/8","Texas Tech","6' 3""",28.2,6.17,75,"Los Angeles Chargers"
"Earl Bennett",WR,3/23/1987,32.0,"9 5/8","32 1/4",Vanderbilt,"5' 11""",28.4,3.07,71,-
"Ed Eagan",WR,6/19/1993,25.8,"9 3/8","28 7/8","Northwestern St","5' 10""",27.5,Undrafted,70,-
"Ed Williams",WR,3/14/1991,28.0,-,"31 7/8","Fort Hays State","6' 0""",26.6,Undrafted,72,-
"Eddie Royal",WR,5/21/1986,32.8,"8 5/8","31    ","Virginia Tech","5' 10""",26.5,2.11,70,-
"Eli Rogers",WR,12/23/1992,26.2,"9 1/4","29 7/8",Louisville,"5' 10""",25.8,Undrafted,70,"Pittsburgh Steelers"
"Emanuel Hall",WR,5/21/1997,21.8,"9 3/4","33 1/4",Missouri,"6' 2""",25.8,-,74,-
"Emmanuel Butler",WR,8/27/1996,22.6,"10 1/8","33    ","Northern Arizona","6' 3""",27.1,-,75,-
"Emmanuel Sanders",WR,3/17/1987,32.0,"9 1/4","32    ",SMU,"5' 11""",25.1,3.18,71,"Denver Broncos"
"Emory Blake",WR,7/18/1991,27.7,"9 1/2","32 3/4",Auburn,"6' 0""",26.6,Undrafted,72,-
"Equanimeous St. Brown",WR,9/30/1996,22.5,"9 3/4","33    ","Notre Dame","6' 5""",25.4,6.33,77,"Green Bay Packers"
"Eric Decker",WR,3/15/1987,32.0,"9 1/8","31    ",Minnesota,"6' 3""",26.9,3.23,75,-
"Eric Page",WR,9/23/1991,27.5,"9    ","29    ",Toledo,"5' 10""",25.8,Undrafted,70,-
"Eric Rogers",WR,2/12/1991,28.1,"9 3/8","33 7/8","Cal Lutheran","6' 3""",26.2,Undrafted,75,-
"Eric Ward",WR,7/24/1990,28.7,"9 1/4","31 3/8","Texas Tech","6' 0""",27.8,Undrafted,72,-
"Eric Weems",WR,7/4/1985,33.7,-,-,Bethune-Cookman,"5' 9""",28.8,Undrafted,69,-
"Evan Spencer",WR,5/26/1993,25.8,"10 1/8","31 7/8","Ohio State","6' 1""",27.4,6.11,73,-
"Ezell Ruffin",WR,3/17/1992,27.0,"8 3/4","31 1/8","San Diego State","6' 0""",29.6,Undrafted,72,-
"Felton Davis",WR,2/25/1997,22.1,"10 1/4","32 3/4","Michigan State","6' 3""",26.4,-,75,-
"Francis Owusu",WR,12/27/1994,24.2,"9    ","32    ",Stanford,"6' 2""",28.4,Undrafted,74,-
"Frank Stephens",WR,10/23/1995,23.4,"9 1/8","30 1/2","Northern Colorado","5' 9""",26.0,Undrafted,69,-
"Frankie Hammond",WR,2/17/1990,29.1,"9 1/4","31 1/2",Florida,"6' 1""",24.3,Undrafted,73,-
"Fred Brown",WR,12/1/1993,25.3,"9 1/4","32 1/2","Mississippi State","6' 1""",26.3,Undrafted,73,"Denver Broncos"
"Fred Ross",WR,5/19/1995,23.8,"9 1/4","31 1/4","Mississippi State","6' 1""",28.1,Undrafted,73,-
"Freddie Martino",WR,9/7/1991,27.5,"9    ","30 3/8","North Greenville","6' 0""",26.4,Undrafted,72,-
"Gabe Marks",WR,8/6/1994,24.6,"8 3/4","30 3/8","Washington State","5' 11""",26.4,Undrafted,71,-
"Garrett Johnson",WR,-,-,"8 3/4","30 3/8",Kentucky,"5' 10""",24.2,Undrafted,70,-
"Garry Brown",WR,8/13/1994,24.6,"9    ","33    ","California (PA)","6' 0""",27.9,Undrafted,72,-
"Gary Jennings",WR,3/7/1998,21.0,"9 5/8","32 1/2","West Virginia","6' 1""",28.2,-,73,-
"Gavin Lutman",WR,3/21/1991,28.0,"10    ","31 1/4","Pittsburg State","6' 4""",24.5,Undrafted,76,-
"Gehrig Dieter",WR,2/24/1993,26.1,"9 1/2","31 1/2",Alabama,"6' 2""",26.7,Undrafted,74,"Kansas City Chiefs"
"Geraldo Boldewijn",WR,2/14/1991,28.1,"9 1/2","34 1/8","Boise State","6' 3""",26.9,Undrafted,75,-
"Geremy Davis",WR,1/10/1992,27.2,"9 1/2","32 1/4",Connecticut,"6' 2""",27.7,6.10,74,-
"Geronimo Allison",WR,1/18/1994,25.2,"9 1/2","32 7/8",Illinois,"6' 3""",24.5,Undrafted,75,"Green Bay Packers"
"Gerrard Sheppard",WR,11/16/1990,28.3,-,-,Towson,"6' 2""",27.1,Undrafted,74,-
"Golden Tate",WR,8/2/1988,30.6,"9 1/4","30 1/2","Notre Dame","5' 10""",29.0,2.28,70,"New York Giants"
"Greg Dortch",WR,5/29/1998,20.8,"9 1/4","29 1/4","Wake Forest","5' 7""",27.1,-,67,-
"Greg Hardin",WR,9/4/1990,28.5,"8 1/4","31 1/4","North Dakota","5' 10""",24.5,Undrafted,70,-
"Greg Jenkins",WR,8/23/1989,29.6,"9 1/2","32 1/8","Alabama State","6' 1""",27.4,Undrafted,73,-
"Greg Jennings",WR,9/21/1983,35.5,"9    ","30    ","Western Michigan","5' 11""",27.6,2.20,71,-
"Greg Little",WR,5/30/1989,29.8,"9 1/8","33 1/4","North Carolina","6' 2""",28.2,2.27,74,-
"Greg Salas",WR,8/25/1988,30.6,"9 1/4","32    ",Hawaii,"6' 1""",27.7,4.15,73,-
"Greg Ward",WR,7/12/1995,23.7,"9 7/8","31 1/8",Houston,"5' 11""",25.9,Undrafted,71,-
"Griff Whalen",WR,3/1/1990,29.1,-,-,Stanford,"6' 1""",24.4,Undrafted,73,-
"Hakeem Butler",WR,5/16/1996,22.8,"10 3/4","35 1/4","Iowa State","6' 5""",26.9,-,77,-
"Hakeem Nicks",WR,1/14/1988,31.2,"10 1/2","33 1/2","North Carolina","6' 1""",27.4,1.29,73,-
"Harry Douglas",WR,9/16/1984,34.5,"7 3/4","31 1/8",Louisville,"5' 11""",25.4,3.21,71,-
"Hunter Renfrow",WR,12/21/1995,23.2,"7 7/8","29 1/8",Clemson,"5' 10""",26.4,-,70,-
"Hunter Sharp",WR,4/25/1994,24.9,"9 3/8","31 5/8","Utah State","5' 11""",27.6,Undrafted,71,"Cincinnati Bengals"
"Isaac Whitney",WR,6/22/1994,24.7,"8 3/4","32 1/8",USC,"6' 2""",26.2,Undrafted,74,"Houston Texans"
"Isaiah Burse",WR,12/8/1991,27.3,"8 3/8","30 1/4","Fresno State","5' 10""",27.0,Undrafted,70,-
"Isaiah Ford",WR,2/9/1996,23.1,"9 1/4","32 5/8","Virginia Tech","6' 1""",25.6,7.19,73,"Miami Dolphins"
"Isaiah McKenzie",WR,4/9/1995,23.9,"8 7/8","28 7/8",Georgia,"5' 7""",27.1,5.29,67,"Buffalo Bills"
"Ishmael Adams",WR,1/21/1994,25.2,"9    ","29 3/4",UCLA,"5' 8""",28.3,Undrafted,68,-
"Ishmael Zamora",WR,11/26/1995,23.3,"8 3/8","33    ",Baylor,"6' 4""",27.3,Undrafted,76,-
"Issac Blakeney",WR,11/18/1992,26.3,"10 7/8","33 5/8",Duke,"6' 6""",26.0,Undrafted,78,-
"J'Mon Moore",WR,5/23/1995,23.8,"9 3/8","32 7/8",Missouri,"6' 3""",25.9,4.33,75,"Green Bay Packers"
"J.J. Arcega-Whiteside",WR,12/31/1996,22.2,"9 1/2","33 1/4",Stanford,"6' 2""",28.9,-,74,-
"J.J. Jones",WR,12/6/1992,26.3,"8 1/4","29 3/4","West Georgia","5' 10""",25.1,Undrafted,70,"New York Jets"
"J.J. Nelson",WR,4/24/1992,26.9,"8 1/4","31 1/8",UAB,"5' 10""",22.4,5.23,70,"Arizona Cardinals"
"Ja-Mes Logan",WR,10/1/1989,29.5,"8 5/8","31 1/4",Mississippi,"6' 2""",24.6,Undrafted,74,-
"Jace Billingsley",WR,5/17/1993,25.8,"9    ","28 3/4","Eastern Oregon","5' 8""",29.2,Undrafted,68,-
"Jace Davis",WR,8/22/1991,27.6,"9 1/8","30    ","Northern Colorado","6' 1""",27.2,Undrafted,73,-
"Jacoby Ford",WR,7/27/1987,31.7,"9 1/4","30 1/2",Clemson,"5' 9""",27.3,4.10,69,-
"Jacoby Jones",WR,7/11/1984,34.7,"7 1/2",-,"Lane College","6' 3""",27.5,3.09,75,-
"Jaelen Strong",WR,1/25/1994,25.2,"9    ","32 1/2","Arizona State","6' 2""",27.9,3.06,74,"Cleveland Browns"
"Jake Kumerow",WR,2/2/1992,27.1,"9 1/2","31 7/8",UW-Whitewater,"6' 5""",24.7,Undrafted,77,"Green Bay Packers"
"Jake Lampman",WR,6/11/1993,25.8,-,-,"Ferris State","5' 11""",27.9,Undrafted,71,-
"Jake Wieneke",WR,9/15/1994,24.5,"9 7/8","33    ","South Dakota State","6' 4""",26.9,Undrafted,76,-
"Jakeem Grant",WR,10/30/1992,26.4,"8 5/8","29 3/4","Texas Tech","5' 6""",26.6,6.11,66,"Miami Dolphins"
"Jakobi Meyers",WR,11/9/1996,22.4,"9 1/2","32    ","N.C. State","6' 2""",26.1,-,74,-
"Jaleel Scott",WR,2/23/1995,24.1,"10 1/2","33 1/2","New Mexico State","6' 5""",25.8,4.32,77,"Baltimore Ravens"
"Jalen Hurd",WR,1/23/1996,23.2,"10 1/4","32    ",Baylor,"6' 5""",26.8,-,77,-
"Jalen Robinette",WR,2/15/1994,25.1,"10 7/8","32 3/8","Air Force","6' 3""",27.5,Undrafted,75,-
"Jalen Saunders",WR,9/30/1992,26.5,"8 7/8","30    ",Oklahoma,"5' 9""",24.4,4.04,69,-
"Jalen Tolliver",WR,12/30/1995,23.2,"8 5/8","32 5/8","AK Monticello","6' 1""",28.1,Undrafted,73,"Arizona Cardinals"
"Jalen Williams",WR,-,-,"9 3/8","31    ",UMass,"6' 2""",26.8,Undrafted,74,-
"Jalin Marshall",WR,7/21/1995,23.7,"9 5/8","31 1/2","Ohio State","5' 10""",28.7,Undrafted,70,-
"Jamaal Jones",WR,1/31/1993,26.1,"9    ","30 5/8",Montana,"6' 0""",25.6,Undrafted,72,-
"Jamal Custis",WR,11/1/1995,23.4,"10 7/8","33 7/8",Syracuse,"6' 4""",26.0,-,76,-
"Jamal Robinson",WR,1/13/1993,26.2,"9 1/8","32 7/8",Louisiana-Lafayette,"6' 1""",28.0,Undrafted,73,-
"Jamari Staples",WR,9/10/1994,24.5,"9 1/2","33 1/2",Louisville,"6' 3""",24.4,Undrafted,75,-
"Jamarius Way",WR,11/25/1996,22.3,"10 1/4","33    ","South Alabama","6' 3""",26.9,-,75,-
"James Jones",WR,3/31/1984,35.0,"9 3/4","32 1/2","San Jose State","6' 1""",27.4,3.14,73,-
"James Quick",WR,10/6/1994,24.5,"9    ","30 3/4",Louisville,"6' 0""",25.2,Undrafted,72,-
"James Washington",WR,4/2/1996,23.0,"9 3/4","32 3/8","Oklahoma State","5' 11""",29.7,2.28,71,"Pittsburgh Steelers"
"James Wright",WR,12/31/1991,27.2,"9 5/8","32 3/8",LSU,"6' 1""",26.5,7.24,73,"Indianapolis Colts"
"Jamison Crowder",WR,6/7/1993,25.8,"8 3/4","30 3/8",Duke,"5' 8""",28.1,4.06,68,"New York Jets"
"Janarion Grant",WR,11/20/1993,25.3,"9    ","30 1/8",Rutgers,"5' 9""",26.1,Undrafted,69,-
"Jared Abbrederis",WR,12/17/1990,28.3,"9 5/8","31 3/8",Wisconsin,"6' 1""",25.7,5.36,73,-
"Jared Dangerfield",WR,8/9/1993,25.6,"9 3/8","32    ","Western Kentucky","6' 2""",27.6,Undrafted,74,-
"Jared Green",WR,4/1/1989,30.0,-,-,Southern,"6' 1""",24.8,Undrafted,73,-
"Jarius Wright",WR,11/25/1989,29.3,"8 1/2","31 1/2",Arkansas,"5' 10""",25.8,4.23,70,"Carolina Panthers"
"Jaron Brown",WR,1/8/1990,29.2,-,"31 3/4",Clemson,"6' 2""",26.3,Undrafted,74,"Seattle Seahawks"
"Jarrett Boykin",WR,11/4/1989,29.4,"10 1/4","32 1/4","Virginia Tech","6' 2""",28.0,Undrafted,74,-
"Jarvis Landry",WR,11/28/1992,26.3,"10 1/4","31 3/4",LSU,"5' 11""",28.6,2.31,71,"Cleveland Browns"
"Jason Avant",WR,4/20/1983,35.9,"9 1/2","32 1/2",Michigan,"6' 0""",28.7,4.12,72,-
"Jasper Collins",WR,11/28/1991,27.3,"9 1/4","29 3/8","Mount Union","5' 10""",27.0,Undrafted,70,-
"Javon Wims",WR,9/11/1994,24.5,"9 1/4","31 1/2",Georgia,"6' 3""",26.9,7.06,75,"Chicago Bears"
"Javone Lawson",WR,2/17/1990,29.1,"8 1/4","30 3/8",Louisiana-Lafayette,"6' 1""",24.1,Undrafted,73,-
"Javontee Herndon",WR,7/29/1991,27.6,"8 1/8","31    ",Arkansas,"6' 0""",28.1,Undrafted,72,-
"Jawill Davis",WR,4/6/1995,24.0,"9    ","32 1/2","Bethune Cookman","6' 1""",25.2,Undrafted,73,"New York Giants"
"Jaxon Shipley",WR,7/17/1992,26.7,"9 1/4","30 7/8",Texas,"6' 1""",25.7,Undrafted,73,-
"Jay Lee",WR,6/29/1993,25.7,"9 5/8","33 1/2",Baylor,"6' 2""",27.6,Undrafted,74,-
"Jaydon Mickens",WR,4/21/1994,24.9,"9 1/8","28 3/4",Washington,"5' 10""",25.0,Undrafted,70,-
"Jaylen Smith",WR,8/1/1997,21.6,"9 1/2","33 7/8",Louisville,"6' 2""",28.1,-,74,-
"Jaz Reynolds",WR,2/26/1991,28.1,"9 1/2","31 7/8",Oklahoma,"6' 2""",25.4,Undrafted,74,-
"Jazz Ferguson",WR,1/22/1997,22.2,"9 1/4","34 1/4","Northwestern State","6' 5""",26.9,-,77,-
"Jeff Badet",WR,-,-,"9 1/4","31    ",Oklahoma,"5' 11""",25.4,Undrafted,71,"Minnesota Vikings"
"Jeff Fuller",WR,4/20/1990,28.9,"9 7/8","33 5/8","Texas A&M","6' 4""",27.1,Undrafted,76,-
"Jeff Janis",WR,6/9/1991,27.8,"9    ","32 1/2","Saginaw Valley","6' 3""",27.4,7.21,75,-
"Jeff Maehl",WR,3/16/1989,30.0,"9 1/8","31 1/2",Oregon,"6' 1""",25.1,Undrafted,73,-
"Jehu Chesson",WR,12/29/1993,25.2,"9 1/8","33 1/4",Michigan,"6' 3""",25.5,4.33,75,Washington
"Jeremy Butler",WR,4/22/1991,27.9,"9 1/2","32    ",Tennessee-Martin,"6' 2""",28.8,Undrafted,74,-
"Jeremy Gallon",WR,2/9/1990,29.1,"9 3/8","29 1/2",Michigan,"5' 7""",29.0,7.29,67,-
"Jeremy Johnson",WR,11/8/1991,27.4,"8 3/4","31 1/8",SMU,"6' 0""",24.3,Undrafted,72,-
"Jeremy Kerley",WR,11/8/1988,30.4,"9    ","30    ","Texas Christian","5' 9""",27.8,5.22,69,-
"Jeremy Maclin",WR,5/11/1988,30.9,"9 1/4","32 1/4",Missouri,"6' 0""",26.9,1.19,72,-
"Jeremy Ross",WR,3/16/1988,31.0,-,-,California,"6' 0""",28.3,Undrafted,72,-
"Jermaine Jones",WR,-,-,"9 3/8","33 5/8","St. Augustines","6' 3""",24.2,Undrafted,75,-
"Jermaine Kearse",WR,2/6/1990,29.1,"9 1/4","32 1/8",Washington,"6' 1""",27.6,Undrafted,73,-
"Jerome Lane",WR,3/9/1996,23.0,"9 3/4","31 1/2",Akron,"6' 2""",29.0,Undrafted,74,-
"Jerome Simpson",WR,2/4/1986,33.1,"11    ","34 5/8","Coastal Carolina","6' 2""",24.3,2.15,74,-
"Jerrel Jernigan",WR,6/14/1989,29.8,"9 1/4","32    ",Troy,"5' 9""",27.9,3.19,69,-
"Jerricho Cotchery",WR,6/16/1982,36.8,"9    ","32 1/4","NC State","6' 0""",27.5,4.12,72,-
"Jester Weah",WR,2/7/1995,24.1,"9 5/8","31 1/8",Pittsburgh,"6' 2""",27.0,Undrafted,74,"Houston Texans"
"Jhajuan Seales",WR,11/26/1993,25.3,"9    ","31 1/2","Oklahoma State","6' 1""",27.2,Undrafted,73,-
"Jimmie Hunt",WR,9/4/1990,28.5,"9 1/2","30 3/8",Missouri,"6' 0""",29.2,Undrafted,72,-
"JoJo Natson",WR,2/1/1994,25.1,"8    ","29 1/8",Akron,"5' 9""",23.5,Undrafted,69,"Los Angeles Rams"
"Joe Morgan",WR,3/23/1988,31.0,"9 1/8","31    ",Walsh,"6' 0""",25.0,Undrafted,72,-
"John Brown",WR,4/3/1990,29.0,"8 1/2","30 1/2","Pittsburg State","5' 10""",25.7,3.27,70,"Buffalo Bills"
"John Harris",WR,11/11/1991,27.4,"9 1/4","33 1/4",Texas,"6' 2""",28.0,Undrafted,74,-
"John Ross",WR,11/27/1995,23.3,"8 3/4","31 1/2",Washington,"5' 11""",26.2,1.09,71,"Cincinnati Bengals"
"Johnnie Dixon",WR,-,-,"9 5/8","30 1/4","Ohio State","5' 10""",28.8,-,70,-
"Johnny Holton",WR,8/22/1990,28.6,"9 7/8","32 7/8",Cincinnati,"6' 1""",25.1,Undrafted,73,"Philadelphia Eagles"
"Jon Baldwin",WR,8/10/1989,29.6,"10 1/8","33 5/8",Pittsburgh,"6' 4""",28.0,1.26,76,-
"Jonah Trinnaman",WR,7/20/1996,22.7,"9    ","30 3/8",BYU,"5' 10""",27.5,Undrafted,70,-
"Jonathan Krause",WR,1/18/1992,27.2,"9    ","31    ",Vanderbilt,"5' 11""",26.1,Undrafted,71,-
"Jordan Harris",WR,12/8/1991,27.3,"9 1/2","31    ","Bryant College","6' 2""",27.6,Undrafted,74,-
"Jordan Lasley",WR,11/13/1996,22.3,"9 5/8","32 3/4",UCLA,"6' 1""",26.8,5.25,73,"Baltimore Ravens"
"Jordan Leslie",WR,10/31/1991,27.4,"10 1/4","32 1/4",BYU,"6' 2""",26.3,Undrafted,74,-
"Jordan Matthews",WR,7/16/1992,26.7,"10 3/8","33 1/4",Vanderbilt,"6' 3""",26.5,2.10,75,"San Francisco 49ers"
"Jordan Norwood",WR,9/29/1986,32.5,-,"30 3/4","Penn State","5' 11""",25.1,Undrafted,71,-
"Jordan Payton",WR,9/1/1993,25.6,"10 1/8","32 1/2",UCLA,"6' 1""",27.3,5.15,73,-
"Jordan Smallwood",WR,1/18/1995,24.2,"9 1/8","31    ",Oklahoma,"6' 2""",28.1,Undrafted,74,"San Francisco 49ers"
"Jordan Taylor",WR,2/18/1992,27.1,"9 1/8","32 3/8",Rice,"6' 5""",24.2,Undrafted,77,-
"Jordan Veasy",WR,6/23/1995,23.7,"10 3/8","31 1/2",California,"6' 3""",27.6,Undrafted,75,"Indianapolis Colts"
"Jordan Westerkamp",WR,6/23/1994,24.7,"9 3/8","30 1/2",Nebraska,"5' 11""",27.1,Undrafted,71,-
"Jordan Williams-Lambert",WR,5/9/1994,24.9,"9 1/8","33    ","Ball State","6' 3""",28.4,Undrafted,75,"Chicago Bears"
