"Full Name",Position,College,Weight,"Draft Year","Birth Date"
"Rashaad Penny",RB,"San Diego State","220 lbs",2018,2/2/96
"Rashad Jennings",RB,Liberty,"235 lbs",2009,3/26/85
"Rasheed Williams",RB,"Alfred State","215 lbs",2015,-
"Ray Graham",RB,Pittsburgh,"199 lbs",2013,9/18/90
"Ray Lawry",RB,"Old Dominion","205 lbs",2018,9/10/96
"Ray Rice",RB,Rutgers,"212 lbs",2008,1/22/87
"Raymond Maples",RB,Army,"218 lbs",2015,-
"Reggie Bonnafon",RB,Louisville,"212 lbs",2018,1/4/96
"Reggie Bush",RB,USC,"203 lbs",2006,3/2/85
"Reggie Gallaspy",RB,"N.C. State",-,2019,-
"Rex Burkhead",RB,Nebraska,"214 lbs",2013,7/2/90
"Ricky Ortiz",RB,"Oregon State","233 lbs",2017,4/15/94
"Rob Kelley",RB,Tulane,"226 lbs",2016,10/3/92
"Robert Hughes",RB,"Notre Dame","235 lbs",2011,6/21/89
"Robert Martin",RB,Rutgers,"210 lbs",2018,9/4/95
"Robert Turbin",RB,"Utah State","222 lbs",2012,12/2/89
"Roc Thomas",RB,"Jacksonville State","198 lbs",2018,9/2/95
"Rod Smith",RB,"Ohio State","226 lbs",2015,1/10/92
"Rodney Anderson",RB,Oklahoma,"224 lbs",2019,9/12/96
"Rodney Smith",RB,Minnesota,-,2019,2/28/96
"Ronald Jones",RB,USC,"205 lbs",2018,8/3/97
"Ronnie Brown",RB,Auburn,"230 lbs",2005,12/12/81
"Ronnie Hillman",RB,"San Diego State","200 lbs",2012,9/14/91
"Ronnie Wingo",RB,Arkansas,"231 lbs",2013,2/18/91
"Roosevelt Nix",RB,"Kent State","248 lbs",2014,3/30/92
"Ross Scheuerman",RB,Lafayette,"204 lbs",2015,3/5/93
"Roy Finch",RB,Oklahoma,"177 lbs",2014,10/1/91
"Roy Helu",RB,Nebraska,"219 lbs",2011,12/7/88
"Royce Freeman",RB,Oregon,"229 lbs",2018,2/24/96
"Rushel Shell",RB,"West Virginia","227 lbs",2017,9/7/93
"Russell Hansbrough",RB,Missouri,"192 lbs",2016,11/19/93
"Ryan Green",RB,"Florida State","192 lbs",2018,4/19/94
"Ryan Hewitt",RB,Stanford,"255 lbs",2014,1/24/91
"Ryan Mathews",RB,"Fresno State","220 lbs",2010,10/10/87
"Ryan Williams",RB,"Virginia Tech","207 lbs",2011,4/9/90
"Ryquell Armstead",RB,Temple,"220 lbs",2019,-
"Sam Rogers",RB,"Virginia Tech","235 lbs",2017,4/12/95
"Samaje Perine",RB,Oklahoma,"233 lbs",2017,9/16/95
"Saquon Barkley",RB,"Penn State","233 lbs",2018,2/7/97
"Senorise Perry",RB,Louisville,"187 lbs",2014,9/19/91
"Shane Vereen",RB,California,"203 lbs",2011,5/2/89
"Shaq Vann",RB,"Eastern Michigan",-,2019,-
"Shaun Draughn",RB,"North Carolina","205 lbs",2011,12/7/87
"Shaun Wilson",RB,Duke,"185 lbs",2018,12/2/95
"Shock Linwood",RB,Baylor,"201 lbs",2017,10/13/93
"Shonn Greene",RB,Iowa,"226 lbs",2009,8/21/85
"Silas Redd",RB,USC,"212 lbs",2014,3/1/92
"Sony Michel",RB,Georgia,"214 lbs",2018,2/17/95
"Spencer Ware",RB,LSU,"229 lbs",2013,11/23/91
"Squally Canada",RB,BYU,-,2019,5/7/96
"Stepfan Taylor",RB,Stanford,"214 lbs",2013,6/9/91
"Stephen Houston",RB,Indiana,"225 lbs",2014,10/28/91
"Stevan Ridley",RB,LSU,"225 lbs",2011,1/27/89
"Steven Jackson",RB,"Oregon State","236 lbs",2004,7/22/83
"Steven Miller",RB,"Appalachian State","172 lbs",2013,3/23/91
"Steven Peoples",RB,"Virginia Tech",-,2019,7/5/95
"Storm Johnson",RB,"Central Florida","209 lbs",2014,7/10/91
"Synjyn Days",RB,"Georgia Tech","232 lbs",2015,10/9/91
"T.J. Logan",RB,"North Carolina","196 lbs",2017,9/3/94
"T.J. Yeldon",RB,Alabama,"226 lbs",2015,10/2/93
"Taiwan Deal",RB,Wisconsin,-,2019,-
"Taiwan Jones",RB,"Eastern Washington","195 lbs",2011,7/26/88
"Taquan Mizzell",RB,Virginia,"197 lbs",2017,10/21/93
"Tarean Folston",RB,"Notre Dame","199 lbs",2017,1/10/95
"Tarik Cohen",RB,"North Carolina A&T","179 lbs",2017,7/26/95
"Tauren Poole",RB,Tennessee,"209 lbs",2012,10/19/89
"Tavon Austin",RB,"West Virginia","174 lbs",2013,3/15/91
"Terence Williams",RB,Houston,-,2019,12/20/95
"Teriyon Gipson",RB,"New Mexico","187 lbs",2017,1/19/95
"Terrance Cobb",RB,Cumberlands,"220 lbs",2014,9/18/90
"Terrance West",RB,"Towson State","225 lbs",2014,1/28/91
"Terrell Watson",RB,"Azusa Pacific","242 lbs",2015,8/22/93
"Terrence Magee",RB,LSU,"213 lbs",2015,3/16/93
"Terris Jones-Grigsby",RB,Arizona,"195 lbs",2015,11/28/92
"Terron Ward",RB,"Oregon State","201 lbs",2015,2/15/92
"Terry Swanson",RB,Toledo,"208 lbs",2018,8/6/96
"Tevin Coleman",RB,Indiana,"206 lbs",2015,4/6/93
"Theo Riddick",RB,"Notre Dame","201 lbs",2013,5/4/91
"Thomas Rawls",RB,"Central Michigan","215 lbs",2015,8/8/93
"Tim Cook",RB,"Oregon State","242 lbs",2017,4/19/94
"Tim Cornett",RB,UNLV,"209 lbs",2014,4/18/92
"Tim Flanders",RB,"Sam Houston","207 lbs",2014,9/29/91
"Tim Hightower",RB,Richmond,"220 lbs",2008,5/23/86
"Tion Green",RB,Cincinnati,"221 lbs",2017,12/14/93
"Toby Gerhart",RB,Stanford,"231 lbs",2010,3/28/87
"Todd Gurley",RB,Georgia,"227 lbs",2015,8/3/94
"Tommy Bohanon",RB,"Wake Forest","246 lbs",2013,9/10/90
"Tony Brooks-James",RB,Oregon,-,2019,-
"Tony Pollard",RB,Memphis,"210 lbs",2019,4/30/97
"Tra Carson",RB,"Texas A&M","227 lbs",2016,10/24/92
"Travaris Cadet",RB,"Appalachian State","210 lbs",2012,2/1/89
"Travis Homer",RB,Miami,"201 lbs",2019,8/7/98
"Travon McMillian",RB,Colorado,-,2019,2/5/96
"Trayveon Williams",RB,"Texas A&M","206 lbs",2019,10/18/97
"Tre Madden",RB,USC,"223 lbs",2016,8/16/93
"Tre Mason",RB,Auburn,"207 lbs",2014,8/6/93
"Tre Watson",RB,Texas,-,2019,2/19/96
"Trent Richardson",RB,Alabama,"230 lbs",2012,7/10/91
"Trenton Cannon",RB,"Virginia State","185 lbs",2018,7/23/94
"Trevon Wesco",RB,"West Virginia","267 lbs",2019,-
"Trey Edmunds",RB,Maryland,"223 lbs",2017,12/30/94
"Trey Watts",RB,Tulsa,"208 lbs",2014,2/13/91
"Trey Williams",RB,"Texas A&M","195 lbs",2015,12/11/92
"Troymaine Pope",RB,"Jacksonville St","205 lbs",2016,11/26/93
"Ty Issac",RB,Michigan,"227 lbs",2018,10/16/94
"Ty Johnson",RB,Maryland,-,2019,9/17/97
"Ty Montgomery",RB,Stanford,"216 lbs",2015,1/22/93
"Tyler Ervin",RB,"San Jose State","192 lbs",2016,10/7/93
"Tyler Gaffney",RB,Stanford,"220 lbs",2014,4/20/91
"Tyler Varga",RB,Yale,"222 lbs",2015,9/24/93
"Vick Ballard",RB,"Mississippi State","219 lbs",2012,7/16/90
"Warren Wand",RB,"Arkansas State",-,2019,10/23/96
"Wayne Gallman",RB,Clemson,"215 lbs",2017,10/1/94
"Wendell Smallwood",RB,"West Virginia","208 lbs",2016,1/29/94
"Wes Hills",RB,"Slippery Rock",-,2019,6/5/95
"Wesley Fields",RB,"Georgia Southern",-,2019,-
"William Stanback",RB,"Virginia Union","233 lbs",2017,7/6/94
"Zac Brooks",RB,Clemson,"200 lbs",2016,2/1/93
"Zac Stacy",RB,Vanderbilt,"224 lbs",2013,4/9/91
"Zach Bauman",RB,"Northern Arizona","200 lbs",2014,7/24/92
"Zach Laskey",RB,"Georgia Tech","238 lbs",2015,7/8/92
"Zach Line",RB,SMU,"232 lbs",2013,4/26/90
"Zach Zenner",RB,"South Dakota State","223 lbs",2015,9/13/91
"Zack Moss",RB,Utah,-,2019,-
"Zurlon Tipton",RB,"Central Michigan","222 lbs",2014,4/27/90
